"CD","SEX","AGE_CAT_EDUC","LHS - 111 - 112 (2010 - 2012)","HS - 111 - 112 (2010 - 2012)","SCAD - 111 - 112 (2010 - 2012)","LHS - 113 - 114 (2013 - 2015)","HS - 113 - 114 (2013 - 2015)","SCAD - 113 - 114 (2013 - 2015)"
"CD 14","Male","25 to 34 years",6.9289350948966,10.2506718246464,4.65420519631344,13.0077604109739,11.0339712208871,5.65026645590941
"CD 15","Male","25 to 34 years",2.54412972085386,2.59839623571957,0.929271343895345,4.24321617217316,4.04436909851768,1.92714397228555
"CD 16","Male","25 to 34 years",3.16007626263223,5.26981077498492,1.42231776134141,3.05932811005427,4.56152629489262,1.53736119482904
"CD 17","Male","25 to 34 years",2.9678542852211,2.8283942613742,1.97933677029275,4.25509276276334,5.90187026976752,1.45173397265364
"CD 18","Male","25 to 34 years",4.8554549837525,8.3900279069596,3.04310071577541,14.2024216823638,8.3367523776112,2.49681402556308
"CD 19","Male","25 to 34 years",2.43568945538818,3.44495553299141,0.904099771599107,NA,NA,NA
"CD 01","Female","25 to 34 years",10.7648216418426,7.24100928904437,3.17991938149396,9.31201546225898,10.4916710041953,4.70165128069744
"CD 02","Female","25 to 34 years",8.17652102313319,8.9654561393554,1.57658450283027,3.77110942628545,7.25291070899256,3.98317549675395
"CD 03","Female","25 to 34 years",3.51150558842867,5.33081700079177,1.97888106706187,5.39349030470914,4.78205382529921,2.14463052060202
"CD 04","Female","25 to 34 years",10.8373205741627,7.78350515463918,2.65350155872888,3.54223220388634,4.11332228973022,2.03344657743669
"CD 05","Female","25 to 34 years",8.10939907550077,1.20547480339087,2.93219918683446,2.11141019889338,3.1964712717688,2.41556886227545
"CD 06","Female","25 to 34 years",0,10.8485863247863,5.56353922878687,15.1270300360639,13.5799536441687,7.81486238465052
"CD 07","Female","25 to 34 years",3.16917520537715,16.222769347406,3.81715682552109,4.06985799579373,8.64720199799889,5.2488621673367
"CD 08","Female","25 to 34 years",5.62982801519318,9.15111082356008,3.87945967915133,10.8516299137105,17.7046487754803,9.28632964120042
"CD 09","Female","25 to 34 years",2.75293083235639,2.37496930872316,1.59276898520278,2.27900885861068,2.6993261480247,1.39392345584439
"CD 10","Female","25 to 34 years",Inf,Inf,Inf,2.51895600610454,3.89754206611817,1.37844206185889
"CD 11","Female","25 to 34 years",Inf,Inf,Inf,6.97240811173442,6.82874521312687,3.58118254876014
"CD 12","Female","25 to 34 years",7.72272260555282,6.15191432047271,3.39893089809214,4.32271201623284,5.44750914565526,1.81482308003864
"CD 13","Female","25 to 34 years",8.60844637566077,4.12488312769135,3.20948656185092,4.35382465737605,8.4708206258624,4.58477821846241
"CD 14","Female","25 to 34 years",8.50262661311914,11.3923268059754,1.89668647779787,12.4037172928447,10.6630525155804,4.3953127225367
"CD 15","Female","25 to 34 years",6.24631311651528,8.62492835710192,4.72793010752688,2.25621543120101,3.33707484603482,1.84052536009305
"CD 16","Female","25 to 34 years",2.37591776798825,4.72893677612835,2.04254244776873,7.40561952313198,8.65629134900132,2.86137184115523
"CD 17","Female","25 to 34 years",2.02775994865212,2.29272813028765,0.956138542154262,3.6462261899583,6.78200576686151,2.50080968755204
"CD 18","Female","25 to 34 years",8.06250459501558,12.7745014537502,5.72065890659412,5.667839610152,9.91516586680493,2.9456176825983
"CD 19","Female","25 to 34 years",5.577734375,4.31715797430083,2.46925566343042,NA,NA,NA
"CD 01","Male","35 to 44 years",3.02855211030583,3.4396138505281,1.54525844223387,3.18860196833519,2.88595416325159,1.69006785572115
"CD 02","Male","35 to 44 years",4.70137805219615,6.04886834305474,0.743703210961143,16.3767500463879,12.7455114476801,2.88986108361204
"CD 03","Male","35 to 44 years",11.3053279361565,6.34148069151749,3.61450651580968,14.2128811312417,11.1117969821674,3.08323529411765
"CD 04","Male","35 to 44 years",4.1755553380957,4.74166030769231,1.76439271900278,4.41584610082961,6.33057323945842,2.29431039618707
"CD 05","Male","35 to 44 years",9.38010653560042,5.93777141736402,2.60523991757433,6.05157736604907,4.06460641668867,2.06704866159241
"CD 06","Male","35 to 44 years",10.1811030941525,6.10044925263731,2.4279991787642,3.92336759371221,14.7249141477056,3.3193094629156
"CD 07","Male","35 to 44 years",6.69774337012024,7.61882673529141,2.41322878105596,3.31892565343922,6.99703216827609,3.79554648778054
"CD 08","Male","35 to 44 years",5.04121035348395,3.45843853136449,1.65533093460837,20.4154863078376,8.66781214203895,3.47476695596271
"CD 09","Male","35 to 44 years",10.5806697674419,5.36351909202886,1.71019817945384,5.86176158471878,5.2388927919067,1.72551306323362
