"","AGE_CAT_EDUC","SEX","CD","LHS_111 - 112 (2010 - 2012)","HS_111 - 112 (2010 - 2012)","SCAD_111 - 112 (2010 - 2012)","LHS_113 - 114 (2013 - 2015)","HS_113 - 114 (2013 - 2015)","SCAD_113 - 114 (2013 - 2015)"
"55","35 to 44 years","Male","CD 17","7.65 (1.62 , 36.02)","11.21 (2.72 , 46.18)","3.43 (0.73 , 16.14)","2.91 (1.25 , 6.82)","3.65 (1.81 , 7.36)","1.24 (0.54 , 2.83)"
"56","35 to 44 years","Male","CD 18","6.54 (2.05 , 20.84)","7.16 (3.59 , 14.27)","2.17 (0.95 , 4.95)","5.71 (2.7 , 12.09)","3.83 (2.2 , 6.66)","2.84 (1.59 , 5.06)"
"57","35 to 44 years","Male","CD 19","3.59 (1.55 , 8.31)","2.21 (1.09 , 4.5)","1.2 (0.51 , 2.84)",NA,NA,NA
"58","35 to 44 years","Female","CD 01","2.57 (0.68 , 9.69)","4.09 (1.23 , 13.55)","1.39 (0.35 , 5.56)","3.55 (1.4 , 9.01)","3.21 (1.38 , 7.46)","1.9 (0.76 , 4.77)"
"59","35 to 44 years","Female","CD 02","3.16 (0.85 , 11.78)","3.9 (1.3 , 11.66)","1.06 (0.26 , 4.23)","17.78 (3.9 , 81.14)","13.78 (3.2 , 59.4)","3.21 (0.62 , 16.55)"
"60","35 to 44 years","Female","CD 03","3.72 (0.75 , 18.42)","3.17 (0.9 , 11.13)","2.56 (0.69 , 9.47)","14.21 (4.38 , 46.15)","11.11 (3.94 , 31.31)","3.08 (0.98 , 9.68)"
"61","35 to 44 years","Female","CD 04","3.35 (0.37 , 29.99)","7.13 (2.38 , 21.32)","1.94 (0.52 , 7.23)","3.93 (1.06 , 14.64)","6.2 (2.38 , 16.14)","2.29 (0.78 , 6.71)"
"62","35 to 44 years","Female","CD 05","2.4 (0.57 , 10.06)","1.46 (0.51 , 4.14)","0.65 (0.18 , 2.43)","6.05 (1.51 , 24.2)","3.99 (1.32 , 12.02)","2.07 (0.62 , 6.86)"
"63","35 to 44 years","Female","CD 06","2.72 (0.58 , 12.8)","3.66 (1.54 , 8.73)","0.71 (0.19 , 2.68)","3.92 (0.44 , 35.1)","14.02 (4.72 , 41.67)","3.32 (0.89 , 12.36)"
"64","35 to 44 years","Female","CD 07","6.78 (1.69 , 27.09)","5.92 (2.3 , 15.25)","3.76 (1.41 , 10.02)","3.79 (0.76 , 18.76)","7.78 (2.99 , 20.23)","3.91 (1.39 , 10.99)"
"65","35 to 44 years","Female","CD 08","2.75 (0.32 , 23.54)","5.13 (1.88 , 14.01)","2.53 (0.85 , 7.54)","20.42 (7.08 , 58.84)","8.67 (3.5 , 21.48)","3.47 (1.29 , 9.4)"
"66","35 to 44 years","Female","CD 09","5.67 (0.51 , 62.48)","9.29 (1.24 , 69.56)","4.09 (0.49 , 33.95)","5.86 (1.92 , 17.92)","5.24 (2.06 , 13.35)","1.73 (0.6 , 4.97)"
"67","35 to 44 years","Female","CD 10","3.91 (1.26 , 12.12)","1.45 (0.54 , 3.86)","0.71 (0.22 , 2.33)","8.53 (0.77 , 94.08)","9.27 (1.2 , 71.81)","9.42 (1.21 , 73.61)"
"68","35 to 44 years","Female","CD 11","1.64 (0.41 , 6.54)","2.81 (1.14 , 6.97)","1.22 (0.44 , 3.34)","11.72 (4.07 , 33.73)","3.19 (1.17 , 8.71)","2.48 (0.87 , 7.03)"
"69","35 to 44 years","Female","CD 12","3.83 (1.17 , 12.54)","2.27 (0.92 , 5.61)","1.52 (0.58 , 3.99)","12.37 (4.16 , 36.81)","4.45 (1.8 , 11.02)","3.39 (1.39 , 8.24)"
"70","35 to 44 years","Female","CD 13","5.3 (1.78 , 15.77)","4.1 (1.71 , 9.83)","1.09 (0.34 , 3.42)","9.98 (3.07 , 32.41)","9.43 (3.25 , 27.37)","3.78 (1.19 , 12.05)"
"71","35 to 44 years","Female","CD 14","6.17 (1.54 , 24.66)","6.65 (2.3 , 19.23)","3.53 (1.17 , 10.64)","6.36 (2.21 , 18.32)","8.45 (3.92 , 18.21)","1.87 (0.76 , 4.56)"
"72","35 to 44 years","Female","CD 15","4.19 (1.28 , 13.72)","4.33 (1.74 , 10.79)","1.82 (0.66 , 5.01)","6.62 (1.48 , 29.58)","6.45 (1.87 , 22.28)","5.75 (1.66 , 19.85)"
"73","35 to 44 years","Female","CD 16","3.38 (0.76 , 15.1)","3.23 (0.87 , 11.93)","1.36 (0.27 , 6.74)","3.79 (1.24 , 11.6)","3.7 (1.35 , 10.19)","1.6 (0.51 , 5.03)"
"74","35 to 44 years","Female","CD 17","3.66 (0.74 , 18.14)","3.46 (0.99 , 12.03)","1.45 (0.35 , 6.08)","4.66 (1.35 , 16.11)","4.24 (1.6 , 11.25)","1.97 (0.68 , 5.66)"
"75","35 to 44 years","Female","CD 18","4.04 (0.45 , 36.18)","11.46 (3.95 , 33.26)","2.18 (0.62 , 7.73)","11.7 (3.71 , 36.85)","10.43 (4.56 , 23.89)","2.9 (1.14 , 7.37)"
"76","35 to 44 years","Female","CD 19","70477619395.3 (0 , Inf)","42493818332.02 (0 , Inf)","9721484616.8 (0 , Inf)",NA,NA,NA
"77","45 to 64 years","Male","CD 01","1.75 (0.95 , 3.2)","3.99 (2.3 , 6.91)","0.94 (0.47 , 1.87)","3.06 (1.83 , 5.14)","3.95 (2.45 , 6.36)","1.96 (1.14 , 3.4)"
"78","45 to 64 years","Male","CD 02","2.39 (1.35 , 4.25)","3.56 (2.15 , 5.89)","1.44 (0.78 , 2.66)","4.93 (2.74 , 8.86)","7.31 (4.29 , 12.47)","2.69 (1.45 , 4.98)"
"79","45 to 64 years","Male","CD 03","1.5 (0.78 , 2.88)","1.1 (0.68 , 1.79)","0.7 (0.38 , 1.29)","4.56 (2.49 , 8.36)","3.84 (2.32 , 6.38)","1.2 (0.64 , 2.28)"
"80","45 to 64 years","Male","CD 04","4.28 (2.05 , 8.93)","4.54 (2.79 , 7.38)","1.19 (0.62 , 2.29)","2.85 (1.59 , 5.09)","2.62 (1.63 , 4.2)","1.06 (0.58 , 1.92)"
"81","45 to 64 years","Male","CD 05","2.15 (1.15 , 3.99)","1.24 (0.74 , 2.08)","0.9 (0.48 , 1.7)","5.85 (2.86 , 11.94)","3.48 (1.86 , 6.52)","2.05 (1 , 4.2)"
"82","45 to 64 years","Male","CD 06","3.84 (2.26 , 6.52)","3.58 (2.4 , 5.34)","0.84 (0.45 , 1.56)","4.56 (2.47 , 8.4)","3.69 (2.35 , 5.81)","2.79 (1.68 , 4.62)"
"83","45 to 64 years","Male","CD 07","3.9 (2.01 , 7.56)","5.63 (3.68 , 8.63)","2.14 (1.27 , 3.6)","2.48 (1.35 , 4.57)","2.47 (1.66 , 3.66)","1.68 (1.06 , 2.67)"
"84","45 to 64 years","Male","CD 08","5.02 (2.86 , 8.8)","3.47 (2.28 , 5.29)","1.58 (0.95 , 2.61)","3.85 (2.07 , 7.16)","4.3 (2.86 , 6.45)","1.74 (1.06 , 2.87)"
"85","45 to 64 years","Male","CD 09","2.33 (1.1 , 4.93)","2.46 (1.31 , 4.62)","1.05 (0.47 , 2.3)","2.74 (1.39 , 5.41)","3.23 (1.83 , 5.71)","1.42 (0.72 , 2.79)"
"86","45 to 64 years","Male","CD 10","2.16 (1.12 , 4.15)","2.3 (1.38 , 3.82)","1.3 (0.72 , 2.36)","1.45 (0.8 , 2.6)","1.46 (0.93 , 2.29)","0.58 (0.32 , 1.06)"
"87","45 to 64 years","Male","CD 11","4 (1.81 , 8.84)","4.73 (2.38 , 9.41)","1.74 (0.78 , 3.87)","5.26 (2.72 , 10.2)","4.41 (2.48 , 7.85)","2.7 (1.44 , 5.07)"
"88","45 to 64 years","Male","CD 12","2.74 (1.44 , 5.18)","2.42 (1.43 , 4.1)","1.4 (0.76 , 2.58)","2.64 (1.38 , 5.05)","3.03 (2.02 , 4.56)","1.6 (0.99 , 2.58)"
"89","45 to 64 years","Male","CD 13","4.61 (2.78 , 7.66)","4.14 (2.73 , 6.29)","1.57 (0.92 , 2.66)","2.91 (1.68 , 5.03)","4.33 (2.8 , 6.68)","1.47 (0.85 , 2.55)"
"90","45 to 64 years","Male","CD 14","1.81 (1.03 , 3.2)","2.3 (1.56 , 3.41)","0.83 (0.5 , 1.38)","4.11 (2.46 , 6.89)","4.45 (2.98 , 6.64)","2.08 (1.33 , 3.25)"
"91","45 to 64 years","Male","CD 15","1.99 (1.03 , 3.84)","2.4 (1.48 , 3.9)","1.51 (0.86 , 2.63)","1.72 (1 , 2.96)","1.86 (1.26 , 2.75)","0.82 (0.49 , 1.36)"
"92","45 to 64 years","Male","CD 16","3.57 (1.66 , 7.68)","5.23 (2.7 , 10.15)","1.86 (0.82 , 4.24)","2.79 (1.62 , 4.81)","2.41 (1.49 , 3.89)","1.64 (0.93 , 2.88)"
"93","45 to 64 years","Male","CD 17","2.27 (1.11 , 4.65)","2.77 (1.57 , 4.88)","1.47 (0.74 , 2.91)","1.6 (0.93 , 2.76)","2.33 (1.57 , 3.45)","0.8 (0.48 , 1.32)"
"94","45 to 64 years","Male","CD 18","4.34 (2.17 , 8.68)","3.72 (2.35 , 5.88)","1.42 (0.81 , 2.5)","3.44 (1.86 , 6.37)","4.05 (2.73 , 6.01)","1.52 (0.93 , 2.47)"
"95","45 to 64 years","Male","CD 19","3.01 (1.63 , 5.55)","2.45 (1.49 , 4.01)","1.2 (0.65 , 2.2)",NA,NA,NA
"96","45 to 64 years","Female","CD 01","1.09 (0.46 , 2.61)","2.03 (0.95 , 4.33)","0.87 (0.36 , 2.14)","5.02 (1.9 , 13.25)","6.32 (2.53 , 15.77)","3.61 (1.37 , 9.55)"
"97","45 to 64 years","Female","CD 02","2.3 (1.06 , 5)","2.24 (1.13 , 4.44)","1.14 (0.5 , 2.58)","4.2 (2.16 , 8.17)","4.18 (2.29 , 7.64)","1.02 (0.47 , 2.2)"
"98","45 to 64 years","Female","CD 03","5.01 (1.82 , 13.77)","2.34 (0.97 , 5.62)","2.16 (0.85 , 5.53)","3.16 (1.28 , 7.77)","3.48 (1.78 , 6.79)","1.72 (0.8 , 3.69)"
"99","45 to 64 years","Female","CD 04","2.47 (0.5 , 12.24)","5.05 (2.12 , 12.02)","2.49 (0.94 , 6.54)","1.74 (0.69 , 4.35)","1.78 (0.95 , 3.35)","0.91 (0.42 , 1.97)"
"100","45 to 64 years","Female","CD 05","19.31 (2.41 , 154.38)","8.87 (1.2 , 65.68)","5.5 (0.68 , 44.72)","3.57 (1.34 , 9.52)","2.39 (1.11 , 5.14)","1.9 (0.82 , 4.39)"
"101","45 to 64 years","Female","CD 06","1.74 (0.48 , 6.23)","4.14 (2.1 , 8.15)","0.75 (0.26 , 2.15)","6.02 (3 , 12.11)","2.23 (1.27 , 3.93)","1.73 (0.93 , 3.21)"
"102","45 to 64 years","Female","CD 07","2.55 (1.01 , 6.43)","3.51 (2.04 , 6.02)","1.29 (0.65 , 2.56)","7.06 (2.89 , 17.27)","5.15 (2.71 , 9.8)","3.5 (1.75 , 7)"
"103","45 to 64 years","Female","CD 08","3.14 (1.21 , 8.16)","2.32 (1.24 , 4.34)","0.86 (0.38 , 1.93)","2.41 (0.91 , 6.43)","2.62 (1.53 , 4.49)","1.76 (0.98 , 3.17)"
"104","45 to 64 years","Female","CD 09","0.39 (0.08 , 1.83)","1.18 (0.54 , 2.58)","1.07 (0.44 , 2.59)","2.75 (1.23 , 6.13)","2.07 (1.09 , 3.94)","0.99 (0.45 , 2.15)"
"105","45 to 64 years","Female","CD 10","1.97 (0.79 , 4.89)","1.38 (0.69 , 2.76)","1.05 (0.48 , 2.32)","2.22 (0.75 , 6.6)","2.89 (1.3 , 6.46)","1.2 (0.46 , 3.09)"
"106","45 to 64 years","Female","CD 11","1.16 (0.39 , 3.46)","2.26 (1.11 , 4.64)","1.51 (0.69 , 3.32)","1.73 (0.73 , 4.13)","1.91 (1.05 , 3.48)","0.96 (0.47 , 1.97)"
"107","45 to 64 years","Female","CD 12","2.58 (1.12 , 5.98)","1.65 (0.83 , 3.27)","0.72 (0.3 , 1.69)","4.66 (1.95 , 11.1)","2.9 (1.59 , 5.29)","2.46 (1.31 , 4.6)"
"108","45 to 64 years","Female","CD 13","2.96 (1.3 , 6.74)","2.54 (1.33 , 4.85)","1.77 (0.87 , 3.62)","2.01 (0.97 , 4.17)","2.53 (1.46 , 4.38)","1.63 (0.88 , 3)"
"109","45 to 64 years","Female","CD 14","4.29 (2.06 , 8.91)","2.18 (1.18 , 4.05)","1.2 (0.6 , 2.41)","2.39 (1.11 , 5.15)","2.91 (1.75 , 4.83)","1.11 (0.61 , 2.01)"
"110","45 to 64 years","Female","CD 15","0.82 (0.23 , 2.99)","1.67 (0.8 , 3.48)","1.07 (0.45 , 2.52)","2.31 (0.91 , 5.86)","1.92 (0.97 , 3.77)","1.59 (0.77 , 3.27)"
"111","45 to 64 years","Female","CD 16","1.56 (0.58 , 4.19)","2.13 (1.01 , 4.48)","1.52 (0.64 , 3.61)","7.65 (2.56 , 22.89)","5.28 (1.87 , 14.87)","3.36 (1.1 , 10.31)"
"112","45 to 64 years","Female","CD 17","3.16 (1.03 , 9.66)","3.27 (1.29 , 8.31)","0.97 (0.3 , 3.18)","2.18 (0.99 , 4.8)","2.41 (1.35 , 4.29)","0.84 (0.42 , 1.71)"
"113","45 to 64 years","Female","CD 18","3.5 (1.25 , 9.83)","2.54 (1.35 , 4.77)","1.2 (0.57 , 2.51)","3.59 (1.27 , 10.2)","4.42 (2.36 , 8.24)","2.14 (1.06 , 4.29)"
"114","45 to 64 years","Female","CD 19","2.06 (0.58 , 7.28)","3.66 (1.55 , 8.63)","2.53 (0.99 , 6.48)",NA,NA,NA
