State-County FIPS Code,Select State,Select County,State-County-Tract FIPS Code (lookup by address at http://www.ffiec.gov/Geocode/),Primary RUCA Code 2010,"Secondary RUCA Code, 2010 (see errata)","Tract Population, 2010","Land Area (square miles), 2010","Population Density (per square mile), 2010"
42003,PA,Allegheny County,42003459201,1,1,"5,988",8.8,677.8
42003,PA,Allegheny County,42003459202,1,1,661,0.1,"8,753.10"
42003,PA,Allegheny County,42003460001,1,1,"4,250",2.6,"1,651.90"
42003,PA,Allegheny County,42003460002,1,1,"3,422",2.9,"1,176.00"
42003,PA,Allegheny County,42003461000,1,1,"1,084",1.5,708
42003,PA,Allegheny County,42003462100,1,1,"2,627",1.6,"1,680.80"
42003,PA,Allegheny County,42003462600,1,1,"3,735",0.4,"8,906.80"
42003,PA,Allegheny County,42003463900,1,1,"2,662",0.4,"6,834.30"
42003,PA,Allegheny County,42003464300,1,1,"3,330",0.4,"7,672.20"
42003,PA,Allegheny County,42003464400,1,1,"3,442",0.7,"5,160.40"
42003,PA,Allegheny County,42003465600,1,1,"2,373",0.4,"6,107.10"
42003,PA,Allegheny County,42003465800,1,1,"3,578",0.8,"4,743.10"
42003,PA,Allegheny County,42003468700,1,1,"1,759",0.5,"3,238.40"
42003,PA,Allegheny County,42003468800,1,1,"2,572",0.4,"6,109.10"
42003,PA,Allegheny County,42003468900,1,1,"3,641",0.7,"5,573.20"
42003,PA,Allegheny County,42003469000,1,1,"4,432",2.1,"2,135.50"
42003,PA,Allegheny County,42003470300,1,1,"3,933",1.3,"2,947.60"
42003,PA,Allegheny County,42003470400,1,1,"3,063",0.7,"4,405.70"
42003,PA,Allegheny County,42003470501,1,1,"3,954",0.4,"9,072.10"
42003,PA,Allegheny County,42003470502,1,1,"2,971",0.7,"4,125.30"
42003,PA,Allegheny County,42003470600,1,1,"3,103",0.7,"4,271.30"
42003,PA,Allegheny County,42003471000,1,1,"1,244",0.3,"4,390.20"
42003,PA,Allegheny County,42003472100,1,1,"2,524",0.2,"11,888.20"
42003,PA,Allegheny County,42003472200,1,1,"2,227",0.3,"8,848.70"
42003,PA,Allegheny County,42003472300,1,1,"2,014",0.1,"15,242.30"
42003,PA,Allegheny County,42003472400,1,1,"1,828",0.2,"11,131.60"
42003,PA,Allegheny County,42003473100,1,1,"4,734",0.6,"8,145.60"
42003,PA,Allegheny County,42003473200,1,1,"3,192",0.3,"11,328.10"
42003,PA,Allegheny County,42003473300,1,1,"5,502",1.3,"4,323.60"
42003,PA,Allegheny County,42003473401,1,1,"3,713",0.6,"6,294.60"
42003,PA,Allegheny County,42003473402,1,1,"3,667",0.7,"5,358.20"
42003,PA,Allegheny County,42003473500,1,1,"3,680",0.9,"4,000.70"
42003,PA,Allegheny County,42003473601,1,1,"4,049",0.8,"5,047.30"
42003,PA,Allegheny County,42003473602,1,1,"4,600",0.9,"4,861.20"
42003,PA,Allegheny County,42003474101,1,1,"3,601",1.6,"2,297.80"
42003,PA,Allegheny County,42003474102,1,1,"3,685",1.8,"1,995.00"
42003,PA,Allegheny County,42003474201,1,1,"2,600",1.3,"2,039.00"
42003,PA,Allegheny County,42003474202,1,1,"4,809",3.4,"1,403.20"
42003,PA,Allegheny County,42003474203,1,1,"4,534",1.7,"2,664.60"
42003,PA,Allegheny County,42003475101,1,1,"4,702",1.2,"3,890.40"
42003,PA,Allegheny County,42003475102,1,1,"1,665",0.7,"2,360.90"
42003,PA,Allegheny County,42003475200,1,1,"4,919",1.8,"2,698.70"
42003,PA,Allegheny County,42003475301,1,1,"4,425",1.3,"3,382.50"
42003,PA,Allegheny County,42003475303,1,1,"4,064",1.2,"3,390.00"
42003,PA,Allegheny County,42003475304,1,1,"5,688",1.6,"3,448.40"
42003,PA,Allegheny County,42003475401,1,1,"3,790",2.3,"1,659.20"
42003,PA,Allegheny County,42003475402,1,1,"3,060",1.5,"2,048.80"
42003,PA,Allegheny County,42003476100,1,1,"5,034",0.9,"5,387.70"
42003,PA,Allegheny County,42003476200,1,1,"3,282",0.7,"4,954.20"
42003,PA,Allegheny County,42003477100,1,1,"3,651",0.8,"4,375.60"
42003,PA,Allegheny County,42003477200,1,1,"4,140",1.1,"3,697.60"
42003,PA,Allegheny County,42003477300,1,1,"6,153",1.4,"4,486.50"
42003,PA,Allegheny County,42003478100,1,1,"4,015",0.6,"6,869.00"
42003,PA,Allegheny County,42003478200,1,1,"5,628",0.9,"6,519.80"
42003,PA,Allegheny County,42003479000,1,1,"1,992",0.5,"3,935.10"
42003,PA,Allegheny County,42003480101,1,1,"4,837",0.9,"5,467.30"
42003,PA,Allegheny County,42003480102,1,1,"3,107",0.7,"4,750.60"
42003,PA,Allegheny County,42003480200,1,1,"3,428",1.2,"2,872.50"
42003,PA,Allegheny County,42003480300,1,1,"3,415",1.1,"3,082.00"
42003,PA,Allegheny County,42003480400,1,1,"4,980",1.9,"2,563.30"
42003,PA,Allegheny County,42003481000,1,1,"3,403",0.3,"10,022.60"
42003,PA,Allegheny County,42003482500,1,1,"1,929",0.9,"2,092.40"
42003,PA,Allegheny County,42003483800,1,1,"3,165",0.6,"5,499.70"
42003,PA,Allegheny County,42003484300,1,1,"3,404",0.9,"3,958.00"
42003,PA,Allegheny County,42003484500,1,1,"5,745",1,"5,930.70"
42003,PA,Allegheny County,42003484600,1,1,"2,257",0.5,"4,813.20"
42003,PA,Allegheny County,42003485000,1,1,"1,271",0.3,"4,298.70"
42003,PA,Allegheny County,42003486700,1,1,"2,360",1,"2,452.40"
42003,PA,Allegheny County,42003486800,1,1,"1,827",0.5,"3,693.00"
42003,PA,Allegheny County,42003486900,1,1,"1,378",0.4,"3,817.50"
42003,PA,Allegheny County,42003487000,1,1,"1,792",1,"1,850.90"
42003,PA,Allegheny County,42003488100,1,1,"2,311",0.7,"3,528.20"
42003,PA,Allegheny County,42003488200,1,1,"3,591",1.1,"3,166.70"
42003,PA,Allegheny County,42003488300,1,1,"2,173",2.4,906
42003,PA,Allegheny County,42003488400,1,1,"4,453",1.4,"3,095.80"
42003,PA,Allegheny County,42003488500,1,1,"2,843",3.7,768.6
42003,PA,Allegheny County,42003488600,1,1,"4,942",4.9,"1,010.90"
42003,PA,Allegheny County,42003489001,1,1,"4,542",1.4,"3,159.10"
42003,PA,Allegheny County,42003489002,1,1,"3,726",1.3,"2,782.50"
42003,PA,Allegheny County,42003490002,1,1,"4,802",3.2,"1,523.70"
42003,PA,Allegheny County,42003490003,1,1,"3,519",3,"1,167.60"
42003,PA,Allegheny County,42003490004,1,1,"5,095",3.1,"1,641.10"
42003,PA,Allegheny County,42003491101,1,1,"5,892",6.4,917.1
42003,PA,Allegheny County,42003491200,1,1,"2,042",4,514.5
42003,PA,Allegheny County,42003492700,1,1,"1,882",1.5,"1,246.30"
42003,PA,Allegheny County,42003492800,1,1,"2,769",0.6,"4,366.30"
42003,PA,Allegheny County,42003492900,1,1,"2,145",0.6,"3,331.40"
42003,PA,Allegheny County,42003494000,1,1,"1,493",0.3,"4,359.30"
42003,PA,Allegheny County,42003495000,1,1.1,"3,376",18.9,178.2
42003,PA,Allegheny County,42003496101,1,1,"2,957",4.6,644.7
42003,PA,Allegheny County,42003496102,1,1.1,"4,502",12.6,355.9
42003,PA,Allegheny County,42003496200,1,1,"5,812",5.6,"1,038.20"
42003,PA,Allegheny County,42003497000,2,2,"1,072",4.8,223.4
42003,PA,Allegheny County,42003498000,1,1,"2,551",1.4,"1,783.40"
42003,PA,Allegheny County,42003499300,1,1,"1,574",0.8,"1,979.50"
42003,PA,Allegheny County,42003499400,1,1,"2,909",0.8,"3,698.80"
42003,PA,Allegheny County,42003500300,1,1,"3,798",1.1,"3,343.50"
42003,PA,Allegheny County,42003501000,1,1,"1,515",0.5,"3,118.40"
42003,PA,Allegheny County,42003503002,1,1,"5,989",2.1,"2,881.90"
42003,PA,Allegheny County,42003504100,1,1,"5,243",3.4,"1,557.40"
42003,PA,Allegheny County,42003507000,1,1,"2,126",0.4,"5,147.90"
42003,PA,Allegheny County,42003508000,1,1,"2,190",0.4,"5,116.70"
42003,PA,Allegheny County,42003509400,1,1,"5,349",1,"5,516.80"
42003,PA,Allegheny County,42003510000,1,1,"1,822",0.4,"4,699.10"
42003,PA,Allegheny County,42003512000,1,1,"2,317",0.5,"4,687.10"
42003,PA,Allegheny County,42003512800,1,1,"1,380",0.8,"1,705.50"
42003,PA,Allegheny County,42003512900,1,1,"1,160",0.2,"6,143.20"
42003,PA,Allegheny County,42003513800,1,1,"2,159",0.6,"3,833.50"
42003,PA,Allegheny County,42003514000,1,1,"2,122",0.4,"4,855.80"
42003,PA,Allegheny County,42003515100,1,1,"2,722",0.4,"6,457.80"
42003,PA,Allegheny County,42003515200,1,1,"2,124",0.2,"10,066.40"
42003,PA,Allegheny County,42003515300,1,1,"1,871",0.3,"5,587.80"
42003,PA,Allegheny County,42003515401,1,1,"2,266",0.2,"9,701.90"
42003,PA,Allegheny County,42003516100,1,1,"1,392",0.3,"5,053.10"
42003,PA,Allegheny County,42003516200,1,1,"1,726",0.3,"5,532.20"
42003,PA,Allegheny County,42003517000,1,1,"1,880",0.9,"1,983.90"
42003,PA,Allegheny County,42003518001,1,1,"3,391",1,"3,421.10"
42003,PA,Allegheny County,42003519000,1,1,"3,011",2.2,"1,376.60"
42003,PA,Allegheny County,42003520001,1,1,"3,229",1.7,"1,906.50"
42003,PA,Allegheny County,42003520002,1,1,"3,128",1.1,"2,975.70"
42003,PA,Allegheny County,42003521100,1,1,"4,603",1.8,"2,539.50"
42003,PA,Allegheny County,42003521200,1,1,"4,090",2.8,"1,444.20"
42003,PA,Allegheny County,42003521301,1,1,"4,226",3,"1,421.60"
42003,PA,Allegheny County,42003521302,1,1,"4,378",3.1,"1,423.10"
42003,PA,Allegheny County,42003521401,1,1,"2,858",2.8,"1,014.90"
42003,PA,Allegheny County,42003521402,1,1,"3,897",2.2,"1,763.10"
42003,PA,Allegheny County,42003521500,1,1,"4,341",4.1,"1,069.90"
42003,PA,Allegheny County,42003522000,1,1,"3,294",0.5,"6,521.50"
42003,PA,Allegheny County,42003523100,1,1,"4,194",2.6,"1,597.20"
42003,PA,Allegheny County,42003523200,1,1,"3,922",1.2,"3,154.30"
42003,PA,Allegheny County,42003523300,1,1,"4,194",1.4,"3,046.80"
42003,PA,Allegheny County,42003523400,1,1,"4,967",1.3,"3,953.20"
42003,PA,Allegheny County,42003523501,1,1,"4,658",1.8,"2,631.00"
42003,PA,Allegheny County,42003523502,1,1,"1,539",1.8,845.5
